t, reading 
1742.8,658
1742.85,659
1742.9,658
1742.95,635
1743,659
1743.05,655
1743.1,648
1743.15,637
1743.2,658
1743.25,665
1743.3,664
1743.35,638
1743.4,646
1743.45,590
1743.5,496
1743.55,296
1743.6,296
1743.65,296
1743.7,299
1743.75,300
1743.8,314
1743.85,954
1743.9,298
1743.95,297
1744,297
1744.05,297
1744.1,298
1744.15,392
1744.2,398
1744.25,440
1744.3,431
1744.35,488
1744.4,517
1744.45,512
1744.5,535
1744.55,541
1744.6,543
1744.65,563
1744.7,763
1744.75,969
1744.8,836
1744.85,586
1744.9,536
1744.95,521
1745,593
1745.05,685
1745.1,692
1745.15,601
1745.2,547
1745.25,541
1745.3,568
1745.35,604
1745.4,639
1745.45,629
1745.5,615
1745.55,585
1745.6,570
1745.65,570
1745.7,547
1745.75,603
1745.8,966
1745.85,943
1745.9,584
1745.95,535
1746,548
1746.05,563
1746.1,651
1746.15,688
1746.2,634
1746.25,576
1746.3,557
1746.35,571
1746.4,600
1746.45,617
1746.5,631
1746.55,611
1746.6,605
1746.65,613
1746.7,615
1746.75,591
1746.8,679
1746.85,967
1746.9,758
1746.95,564
1747,539
1747.05,587
1747.1,577
1747.15,697
1747.2,712
1747.25,620
1747.3,556
1747.35,558
1747.4,572
1747.45,614
1747.5,651
1747.55,632
1747.6,612
1747.65,573
1747.7,630
1747.75,964
1747.8,828
1747.85,572
1747.9,532
1747.95,568
1748,588
1748.05,707
1748.1,706
1748.15,607
1748.2,574
1748.25,568
1748.3,578
1748.35,606
1748.4,635
1748.45,635
1748.5,633
1748.55,625
1748.6,625
1748.65,600
1748.7,770
1748.75,965
1748.8,788
1748.85,550
1748.9,542
1748.95,556
1749,602
1749.05,690
1749.1,673
1749.15,601
1749.2,593
1749.25,568
1749.3,584
1749.35,607
1749.4,638
1749.45,627
1749.5,597
1749.55,606
1749.6,618
1749.65,583
1749.7,576
1749.75,731
1749.8,966
1749.85,800
1749.9,540
1749.95,523
1750,553
1750.05,595
1750.1,695
1750.15,672
1750.2,606
1750.25,568
1750.3,565
1750.35,577
1750.4,604
1750.45,619
1750.5,633
1750.55,622
1750.6,619
1750.65,610
1750.7,597
1750.75,602
1750.8,960
1750.85,966
1750.9,624
1750.95,514
1751,551
1751.05,553
1751.1,693
1751.15,703
1751.2,631
1751.25,563
1751.3,561
1751.35,570
1751.4,604
1751.45,612
1751.5,631
1751.55,632
1751.6,613
1751.65,622
1751.7,601
1751.75,613
1751.8,962
1751.85,966
1751.9,622
1751.95,534
1752,585
1752.05,567
1752.1,654
1752.15,699
1752.2,635
1752.25,571
1752.3,553
1752.35,586
1752.4,596
1752.45,631
1752.5,626
1752.55,617
1752.6,621
1752.65,612
1752.7,601
1752.75,608
1752.8,610
1752.85,608
1752.9,963
1752.95,966
1753,617
1753.05,522
1753.1,573
1753.15,557
1753.2,651
1753.25,693
1753.3,629
1753.35,572
1753.4,562
1753.45,574
1753.5,593
1753.55,610
1753.6,629
1753.65,636
1753.7,625
1753.75,608
1753.8,589
1753.85,604
1753.9,595
1753.95,583
1754,836
1754.05,966
1754.1,722
1754.15,521
1754.2,545
1754.25,554
1754.3,624
1754.35,728
1754.4,676
1754.45,602
1754.5,563
1754.55,568
1754.6,598
1754.65,619
1754.7,627
1754.75,623
1754.8,621
1754.85,632
1754.9,599
1754.95,618
1755,885
1755.05,966
1755.1,686
1755.15,531
1755.2,570
1755.25,567
1755.3,621
1755.35,713
1755.4,680
1755.45,600
1755.5,565
1755.55,559
1755.6,578
1755.65,607
1755.7,621
1755.75,610
1755.8,611
1755.85,615
1755.9,593
1755.95,597
1756,604
1756.05,826
1756.1,966
1756.15,723
1756.2,545
1756.25,543
1756.3,567
1756.35,593
1756.4,705
1756.45,686
1756.5,592
1756.55,569
1756.6,576
1756.65,574
1756.7,609
1756.75,634
1756.8,647
1756.85,621
1756.9,609
1756.95,593
1757,575
1757.05,583
1757.1,582
1757.15,953
1757.2,965
1757.25,603
1757.3,472
1757.35,524
1757.4,566
1757.45,704
1757.5,678
1757.55,637
1757.6,595
1757.65,596
1757.7,565
1757.75,572
1757.8,622
1757.85,638
1757.9,637
1757.95,584
1758,592
1758.05,604
1758.1,854
1758.15,966
1758.2,682
1758.25,534
1758.3,545
1758.35,547
1758.4,633
1758.45,708
1758.5,657
1758.55,573
1758.6,561
1758.65,599
1758.7,588
1758.75,601
1758.8,624
1758.85,616
1758.9,605
1758.95,601
1759,593
1759.05,605
1759.1,620
1759.15,621
1759.2,955
1759.25,966
1759.3,643
1759.35,527
1759.4,550
1759.45,559
1759.5,641
1759.55,720
1759.6,639
1759.65,564
1759.7,557
1759.75,569
1759.8,581
1759.85,608
1759.9,624
1759.95,623
1760,614
1760.05,607
1760.1,611
1760.15,607
1760.2,608
1760.25,614
1760.3,620
1760.35,826
1760.4,966
1760.45,734
1760.5,520
1760.55,529
1760.6,546
1760.65,588
1760.7,715
1760.75,687
1760.8,590
1760.85,549
1760.9,551
1760.95,575
1761,614
1761.05,619
1761.1,631
1761.15,623
1761.2,624
1761.25,628
1761.3,625
1761.35,631
1761.4,614
1761.45,847
1761.5,966
1761.55,732
1761.6,528
1761.65,528
1761.7,524
1761.75,618
1761.8,731
1761.85,705
1761.9,593
1761.95,555
1762,555
1762.05,578
1762.1,596
1762.15,623
1762.2,630
1762.25,629
1762.3,621
1762.35,611
1762.4,615
1762.45,712
1762.5,966
1762.55,858
1762.6,564
1762.65,540
1762.7,555
1762.75,568
1762.8,691
1762.85,712
1762.9,600
1762.95,546
1763,549
1763.05,562
1763.1,595
1763.15,631
1763.2,628
1763.25,639
1763.3,624
1763.35,613
1763.4,623
1763.45,615
1763.5,609
1763.55,624
1763.6,931
1763.65,967
1763.7,729
1763.75,503
1763.8,532
1763.85,560
1763.9,599
1763.95,714
1764,657
1764.05,586
1764.1,545
1764.15,567
1764.2,579
1764.25,604
1764.3,631
1764.35,633
1764.4,626
1764.45,628
1764.5,621
1764.55,609
1764.6,662
1764.65,965
1764.7,948
1764.75,573
1764.8,508
1764.85,524
1764.9,549
1764.95,704
1765,722
1765.05,607
1765.1,547
1765.15,558
1765.2,578
1765.25,606
1765.3,627
1765.35,626
1765.4,627
1765.45,625
1765.5,613
1765.55,630
1765.6,687
1765.65,966
1765.7,919
1765.75,557
1765.8,541
1765.85,554
1765.9,573
1765.95,684
1766,704
1766.05,611
1766.1,564
1766.15,555
1766.2,574
1766.25,609
1766.3,626
1766.35,629
1766.4,623
1766.45,618
1766.5,614
1766.55,601
1766.6,626
1766.65,616
1766.7,632
1766.75,961
1766.8,967
1766.85,668
1766.9,536
1766.95,568
1767,553
1767.05,641
1767.1,712
1767.15,638
1767.2,559
1767.25,547
1767.3,571
1767.35,598
1767.4,613
1767.45,624
1767.5,626
1767.55,619
1767.6,615
1767.65,614