t, reading, imuVal 
16.36800, 527.00000, 4566.00000
16.41900, 544.00000, 3886.00000
16.46900, 534.00000, 3896.00000
16.51900, 537.00000, 3780.00000
16.56900, 532.00000, 4070.00000
16.61900, 497.00000, 4090.00000
16.66800, 536.00000, 4286.00000
16.71900, 505.00000, 4198.00000
16.76900, 532.00000, 4058.00000
16.81900, 510.00000, 4228.00000
16.86900, 532.00000, 4430.00000
16.91900, 524.00000, 4284.00000
16.96800, 548.00000, 4362.00000
17.01900, 531.00000, 4014.00000
17.06900, 527.00000, 4026.00000
17.11900, 529.00000, 4052.00000
17.16900, 529.00000, 4174.00000
17.21900, 530.00000, 4210.00000
17.26900, 527.00000, 4292.00000
17.31900, 532.00000, 4010.00000
17.36900, 524.00000, 4354.00000
17.41900, 526.00000, 4160.00000
17.46900, 523.00000, 4006.00000
17.51900, 519.00000, 4574.00000
17.56900, 520.00000, 4030.00000
17.61900, 518.00000, 4068.00000
17.66900, 525.00000, 4102.00000
17.71900, 499.00000, 3924.00000
17.76900, 518.00000, 3814.00000
17.81900, 490.00000, 3630.00000
17.86900, 521.00000, 3314.00000
17.91900, 519.00000, 4234.00000
17.96900, 517.00000, 3964.00000
18.01900, 523.00000, 4436.00000
18.06900, 519.00000, 3894.00000
18.11900, 517.00000, 3800.00000
18.16900, 523.00000, 3252.00000
18.21900, 497.00000, 2880.00000
18.26900, 516.00000, 3130.00000
18.31900, 515.00000, 2742.00000
18.36900, 507.00000, 2754.00000
18.41900, 519.00000, 3378.00000
18.46900, 512.00000, 2596.00000
18.51900, 512.00000, 2752.00000
18.56900, 507.00000, 2954.00000
18.61900, 512.00000, 2494.00000
18.66900, 509.00000, 2238.00000
18.72000, 505.00000, 2320.00000
18.76900, 511.00000, 2856.00000
18.81900, 513.00000, 2912.00000
18.86900, 514.00000, 2902.00000
18.91900, 497.00000, 2958.00000
18.96900, 510.00000, 3066.00000
19.02000, 512.00000, 3210.00000
19.06900, 506.00000, 4044.00000
19.11900, 511.00000, 4670.00000
19.16900, 491.00000, 5582.00000
19.21900, 518.00000, 7340.00000
19.26900, 524.00000, 4170.00000
19.32000, 516.00000, 5008.00000
19.36900, 444.00000, 3632.00000
19.41900, 500.00000, 1116.00000
19.46900, 518.00000, 4090.00000
19.51900, 529.00000, 6098.00000
19.56900, 524.00000, 7802.00000
19.62000, 522.00000, 8204.00000
19.66900, 551.00000, 7722.00000
19.71900, 530.00000, 7560.00000
19.76900, 495.00000, 6992.00000
19.81900, 483.00000, 6492.00000
19.86900, 527.00000, 6442.00000
19.92000, 527.00000, 6854.00000
19.96900, 515.00000, 3950.00000
20.01900, 531.00000, 9242.00000
20.06900, 521.00000, 3190.00000
20.11900, 502.00000, 5460.00000
20.17000, 530.00000, 5548.00000
20.22000, 477.00000, 4922.00000
20.26900, 523.00000, 4366.00000
20.31900, 494.00000, 3976.00000
20.36900, 498.00000, 6130.00000
20.41900, 520.00000, 6238.00000
20.47000, 533.00000, 5504.00000
20.52000, 530.00000, 5998.00000
20.56900, 521.00000, 3952.00000
20.61900, 528.00000, 8938.00000
20.66900, 535.00000, 5930.00000
20.71900, 527.00000, -642.00000
20.77000, 526.00000, 3624.00000
20.82000, 517.00000, 4710.00000
20.86900, 523.00000, 4078.00000
20.91900, 520.00000, 2904.00000
20.96900, 504.00000, 3760.00000
21.01900, 538.00000, 4400.00000
21.07000, 520.00000, 5230.00000
21.12000, 532.00000, 6140.00000
21.16900, 528.00000, 5538.00000
21.21900, 523.00000, 5796.00000
21.26900, 537.00000, 4094.00000
21.31900, 529.00000, 6120.00000
21.37000, 484.00000, 2356.00000
21.42000, 530.00000, 3360.00000
21.46900, 526.00000, 4092.00000
21.51900, 529.00000, 5022.00000
21.56900, 527.00000, 4448.00000
21.61900, 526.00000, 5058.00000
21.67000, 516.00000, 6028.00000
21.72000, 529.00000, 6890.00000
21.76900, 534.00000, 6302.00000
21.81900, 521.00000, 6484.00000
21.86900, 514.00000, 6852.00000
21.92000, 541.00000, 3662.00000
21.97000, 530.00000, 10380.00000
22.02000, 527.00000, 3480.00000
22.06900, 530.00000, 2222.00000
22.11900, 530.00000, 4414.00000
22.16900, 497.00000, 3394.00000
22.22000, 518.00000, 3560.00000
22.27000, 538.00000, 4152.00000
22.32000, 542.00000, 2130.00000
22.36900, 536.00000, 3636.00000
22.41900, 527.00000, 6672.00000
22.46900, 522.00000, 6956.00000
22.52000, 517.00000, 7438.00000
22.57000, 525.00000, 5308.00000
22.62000, 520.00000, 4280.00000
22.66900, 524.00000, 6196.00000
22.71900, 575.00000, 2160.00000
22.76900, 526.00000, 4318.00000
22.82000, 523.00000, 5290.00000
22.87000, 522.00000, 6410.00000
22.92000, 518.00000, 3708.00000
22.96900, 523.00000, 5238.00000
23.01900, 519.00000, 6416.00000
23.06900, 523.00000, 6686.00000
23.12000, 513.00000, 5818.00000
23.17000, 514.00000, 7342.00000
23.22000, 532.00000, 4254.00000
23.26900, 521.00000, 8850.00000
23.31900, 517.00000, 6392.00000
23.37000, 526.00000, 902.00000
23.42000, 515.00000, 4660.00000
23.47000, 523.00000, 5842.00000
23.52000, 493.00000, 2688.00000
23.56900, 498.00000, 3692.00000
23.61900, 524.00000, 3922.00000
23.67000, 517.00000, 4584.00000
23.72000, 510.00000, 4764.00000
23.77000, 516.00000, 5042.00000
23.82000, 525.00000, 5614.00000
23.86900, 518.00000, 6362.00000
23.91900, 504.00000, 5416.00000
23.97000, 527.00000, 5382.00000
24.02000, 534.00000, 932.00000
24.07000, 518.00000, 5220.00000
24.12000, 518.00000, 5286.00000
24.16900, 527.00000, 5110.00000
24.21900, 507.00000, 3232.00000
24.27000, 511.00000, 4538.00000
24.32000, 513.00000, 4822.00000
24.37000, 517.00000, 5642.00000
24.42000, 481.00000, 6156.00000
24.46900, 519.00000, 5476.00000
24.51900, 532.00000, 8140.00000
24.57000, 526.00000, 4670.00000
24.62000, 519.00000, 10690.00000
24.67000, 522.00000, 4816.00000
24.72000, 520.00000, 1922.00000
24.76900, 512.00000, 5124.00000
24.81900, 513.00000, 5218.00000
24.87000, 493.00000, 2966.00000
24.92000, 533.00000, 4210.00000
24.97000, 533.00000, 3184.00000
25.02000, 514.00000, 5160.00000
25.06900, 535.00000, 4852.00000
25.12000, 532.00000, 5926.00000
25.17000, 526.00000, 6954.00000
25.22000, 531.00000, 5692.00000
25.27000, 533.00000, 9226.00000
25.32000, 506.00000, 3432.00000
25.36900, 532.00000, 2590.00000
25.42000, 536.00000, 4080.00000
25.47000, 531.00000, 4670.00000
25.52000, 518.00000, 4186.00000
25.57000, 529.00000, 2858.00000
25.62000, 540.00000, 4484.00000
25.66900, 543.00000, 7114.00000
25.72000, 550.00000, 7094.00000
25.77000, 547.00000, 7160.00000
25.82000, 533.00000, 7850.00000
25.87000, 543.00000, 8132.00000
25.92000, 534.00000, 5896.00000
25.96900, 533.00000, 9472.00000
26.02000, 526.00000, 8484.00000
26.07000, 534.00000, 3136.00000
26.12000, 547.00000, 4058.00000
26.17000, 519.00000, 6804.00000
26.22000, 509.00000, 3872.00000
26.26900, 519.00000, 3970.00000
26.32000, 544.00000, 2972.00000
26.37000, 522.00000, 3152.00000
26.42000, 535.00000, 4402.00000
26.47000, 537.00000, 3882.00000
26.51900, 533.00000, 6196.00000
26.57000, 468.00000, 5898.00000
26.62000, 540.00000, 7630.00000
26.67000, 542.00000, 5352.00000
26.72000, 512.00000, 4712.00000
26.77000, 514.00000, 5652.00000
26.81900, 528.00000, 7018.00000
26.87000, 518.00000, 6176.00000
26.92000, 528.00000, 5088.00000
26.97000, 531.00000, 5182.00000
27.02000, 530.00000, 6454.00000
27.07000, 530.00000, 6902.00000
27.11900, 508.00000, 6480.00000
27.17000, 497.00000, 6894.00000
27.22000, 533.00000, 7096.00000
27.27000, 547.00000, 4286.00000
27.32000, 534.00000, 11932.00000
27.37000, 542.00000, 4144.00000
27.41900, 532.00000, 3590.00000
27.47000, 513.00000, 6004.00000
27.52000, 507.00000, 3990.00000
27.57000, 507.00000, 4198.00000
27.62000, 527.00000, 5030.00000
27.67000, 526.00000, 3286.00000
27.71900, 538.00000, 7076.00000
27.77000, 534.00000, 6784.00000
27.82000, 533.00000, 6758.00000
27.87000, 519.00000, 8002.00000
27.92000, 521.00000, 7050.00000
27.97000, 523.00000, 4352.00000
28.01900, 529.00000, 8002.00000
28.07000, 523.00000, 2988.00000
28.12000, 536.00000, 4056.00000
28.17000, 527.00000, 5378.00000
28.22000, 518.00000, 7702.00000
28.27000, 465.00000, 6680.00000
28.32000, 519.00000, 6488.00000
28.37000, 524.00000, 6058.00000
28.42000, 524.00000, 7326.00000
28.47000, 511.00000, 6428.00000
28.52000, 519.00000, 6730.00000
28.57000, 527.00000, 7394.00000
28.62000, 478.00000, 5566.00000
28.67000, 519.00000, 8018.00000
28.72000, 522.00000, 6568.00000
28.77000, 526.00000, 4164.00000
28.82000, 533.00000, 3258.00000
28.87000, 519.00000, 5848.00000
28.92000, 499.00000, 5452.00000
28.97000, 508.00000, 5750.00000
29.02000, 523.00000, 5278.00000
29.07000, 520.00000, 3910.00000
29.12000, 534.00000, 6458.00000
29.17000, 527.00000, 7430.00000
29.22000, 520.00000, 8092.00000
29.27000, 515.00000, 8276.00000
29.32000, 520.00000, 7476.00000
29.37000, 524.00000, 8186.00000
29.42000, 522.00000, 10662.00000
29.47000, 534.00000, 6200.00000
29.52000, 536.00000, 5800.00000
29.57000, 522.00000, 8340.00000
29.62000, 514.00000, 8618.00000
29.67000, 512.00000, 6266.00000
29.72000, 518.00000, 2662.00000
29.77100, 536.00000, 4562.00000
29.82000, 533.00000, 7294.00000
29.87000, 509.00000, 6092.00000
29.92000, 520.00000, 6738.00000
29.97000, 527.00000, 6194.00000
30.02000, 525.00000, 4372.00000
30.07100, 494.00000, 6682.00000
30.12000, 526.00000, 9068.00000
30.17000, 520.00000, 5930.00000
30.22000, 524.00000, 3992.00000
30.27000, 554.00000, 3322.00000
30.32000, 503.00000, 5376.00000
30.37100, 518.00000, 6182.00000
30.42000, 532.00000, 6646.00000
30.47000, 527.00000, 5416.00000
30.52000, 512.00000, 5662.00000
30.57000, 506.00000, 6576.00000
30.62000, 523.00000, 5768.00000
30.67100, 520.00000, 5360.00000
30.72000, 512.00000, 7540.00000
30.77000, 528.00000, 5586.00000
30.82000, 530.00000, 1586.00000
30.87000, 529.00000, 3332.00000
30.92000, 532.00000, 4390.00000
30.97100, 530.00000, 3614.00000
31.02000, 584.00000, 3982.00000
31.07000, 527.00000, 3474.00000
31.12000, 527.00000, 6282.00000
31.17000, 530.00000, 4356.00000
31.22100, 532.00000, 4734.00000
31.27100, 529.00000, 6452.00000
31.32000, 535.00000, 7082.00000
31.37000, 524.00000, 6660.00000
31.42000, 528.00000, 7090.00000
31.47000, 536.00000, 2960.00000
31.52100, 542.00000, 2236.00000
31.57000, 537.00000, 4804.00000
31.62000, 521.00000, 6076.00000
31.67000, 528.00000, 5698.00000
31.72000, 526.00000, 4740.00000
31.77000, 530.00000, 4874.00000
31.82100, 489.00000, 5026.00000
31.87000, 519.00000, 6274.00000
31.92000, 503.00000, 5788.00000
31.97000, 529.00000, 4328.00000
32.02000, 530.00000, 9860.00000
32.07000, 526.00000, 7798.00000
32.12100, 522.00000, 984.00000
32.17000, 534.00000, 3006.00000
32.22000, 532.00000, 7474.00000
32.27000, 524.00000, 4614.00000
32.32000, 523.00000, 2718.00000
32.37000, 531.00000, 3356.00000
32.42100, 530.00000, 5544.00000
32.47000, 529.00000, 5016.00000
32.52000, 530.00000, 4310.00000
32.57000, 537.00000, 6314.00000
32.62000, 521.00000, 4228.00000
32.67000, 516.00000, 8274.00000
32.72100, 529.00000, 4492.00000
32.77000, 523.00000, 2742.00000
32.82000, 527.00000, 3578.00000
32.87000, 511.00000, 4830.00000
32.92000, 448.00000, 3428.00000
32.97100, 501.00000, 2342.00000
33.02100, 537.00000, 3342.00000
33.07000, 560.00000, 3212.00000
33.12000, 527.00000, 4304.00000
33.17000, 483.00000, 4686.00000
33.22000, 522.00000, 4812.00000
33.27100, 517.00000, 2930.00000
33.32100, 514.00000, 5276.00000
33.37000, 519.00000, -842.00000
33.42000, 519.00000, 3192.00000
33.47000, 513.00000, 6132.00000
33.52000, 510.00000, 788.00000
33.57100, 508.00000, 1070.00000
33.62100, 513.00000, 2896.00000
33.67000, 517.00000, 6760.00000
33.72000, 513.00000, 8242.00000
33.77000, 516.00000, 6370.00000
33.82000, 506.00000, 6466.00000
33.87100, 519.00000, 6732.00000
33.92100, 522.00000, 5068.00000
33.97000, 513.00000, 8240.00000
34.02000, 507.00000, 5670.00000
34.07000, 511.00000, 1060.00000
34.12000, 516.00000, 5038.00000
34.17100, 525.00000, 3686.00000
34.22100, 511.00000, 718.00000
34.27000, 495.00000, 1702.00000
34.32000, 516.00000, 1008.00000
34.37000, 519.00000, 3480.00000
34.42100, 516.00000, 3258.00000
34.47100, 509.00000, 3138.00000
34.52100, 513.00000, 3150.00000
34.57000, 518.00000, 2542.00000
34.62000, 512.00000, 2040.00000
34.67000, 523.00000, 2282.00000
34.72100, 515.00000, 6370.00000
34.77100, 522.00000, 3828.00000
34.82100, 542.00000, 3060.00000
34.87000, 517.00000, 4780.00000
34.92000, 503.00000, 2490.00000
34.97000, 523.00000, 3688.00000
35.02100, 520.00000, 2142.00000
35.07100, 521.00000, 958.00000
35.12100, 513.00000, 2824.00000
35.17000, 529.00000, 4688.00000
35.22000, 535.00000, 6454.00000
35.27000, 542.00000, 4664.00000
35.32100, 479.00000, 5716.00000
35.37100, 537.00000, 6188.00000
35.42100, 533.00000, 8470.00000
35.47000, 527.00000, 5848.00000
35.52000, 504.00000, 5974.00000
35.57000, 537.00000, 8202.00000
35.62100, 543.00000, 8172.00000
35.67100, 486.00000, 5542.00000
35.72100, 450.00000, 4932.00000
35.77000, 527.00000, 3828.00000
35.82000, 525.00000, 3706.00000
35.87000, 522.00000, 3446.00000
35.92100, 546.00000, 5962.00000
35.97100, 521.00000, 6414.00000
36.02100, 538.00000, 2764.00000
36.07000, 536.00000, 6586.00000
36.12000, 533.00000, 6066.00000
36.17100, 534.00000, 6580.00000
36.22100, 533.00000, 5298.00000
36.27100, 520.00000, 4386.00000
36.32100, 535.00000, 5342.00000
36.37000, 510.00000, 6202.00000
36.42000, 487.00000, 4014.00000
36.47100, 523.00000, 2884.00000
36.52100, 522.00000, 4858.00000
36.57100, 529.00000, 8996.00000
36.62100, 542.00000, 6204.00000
36.67000, 527.00000, 6450.00000
36.72000, 520.00000, 5690.00000
36.77100, 550.00000, 5160.00000
36.82100, 530.00000, 7864.00000
36.87100, 538.00000, 7516.00000
36.92100, 538.00000, 5806.00000
36.97000, 520.00000, 5340.00000
37.02000, 528.00000, 6282.00000
37.07100, 581.00000, 5310.00000
37.12100, 527.00000, 5008.00000
37.17100, 483.00000, 7742.00000
37.22100, 527.00000, 5686.00000
37.27000, 521.00000, 2992.00000
37.32000, 533.00000, 2846.00000
37.37100, 532.00000, 5854.00000
37.42100, 489.00000, 5540.00000
37.47100, 530.00000, 5906.00000
37.52100, 542.00000, 4640.00000
37.57000, 534.00000, 2710.00000
37.62100, 528.00000, 4206.00000
37.67100, 522.00000, 5874.00000
37.72100, 528.00000, 5678.00000
37.77100, 525.00000, 8414.00000
37.82100, 526.00000, 8644.00000
37.87000, 521.00000, 712.00000
37.92100, 530.00000, 4140.00000
37.97100, 520.00000, 4780.00000
38.02100, 521.00000, 3802.00000
38.07100, 490.00000, 2320.00000
38.12100, 531.00000, 1364.00000
38.17000, 502.00000, 3874.00000
38.22100, 526.00000, 4746.00000
38.27100, 510.00000, 3690.00000
38.32100, 512.00000, 5114.00000
38.37100, 517.00000, 3810.00000
38.42100, 509.00000, 3246.00000
38.47000, 519.00000, 2102.00000
38.52100, 513.00000, 2428.00000
38.57100, 518.00000, 5042.00000
38.62100, 511.00000, 2634.00000
38.67100, 514.00000, 3906.00000
38.72100, 520.00000, 2336.00000
38.77000, 517.00000, 3960.00000
38.82100, 508.00000, 3184.00000
38.87100, 515.00000, 4950.00000
38.92100, 519.00000, 3966.00000
38.97100, 494.00000, 3444.00000
39.02000, 529.00000, 1656.00000
39.07000, 522.00000, -1228.00000
39.12100, 523.00000, 3846.00000
39.17100, 526.00000, 4264.00000
39.22100, 518.00000, 78.00000
39.27100, 522.00000, 680.00000
39.32000, 525.00000, -102.00000
39.37100, 519.00000, 206.00000
39.42100, 515.00000, 638.00000
39.47100, 516.00000, 1440.00000
39.52100, 523.00000, 2230.00000
39.57100, 522.00000, 2128.00000
39.62000, 529.00000, 1528.00000
39.67100, 525.00000, 1290.00000
39.72100, 523.00000, 1038.00000
39.77100, 522.00000, 814.00000
39.82100, 523.00000, 456.00000
39.87100, 525.00000, 352.00000
39.92000, 524.00000, 192.00000
39.97100, 524.00000, 372.00000
40.02100, 528.00000, 490.00000
40.07100, 516.00000, 376.00000
40.12100, 530.00000, 680.00000
40.17100, 531.00000, 608.00000
40.22000, 519.00000, -6.00000
40.27100, 528.00000, 248.00000
40.32100, 535.00000, 980.00000
40.37100, 525.00000, 734.00000
40.42100, 444.00000, 672.00000
40.47100, 530.00000, 68.00000
40.52000, 534.00000, 366.00000
40.57100, 478.00000, -44.00000
40.62100, 528.00000, 28.00000
40.67100, 528.00000, 720.00000
40.72100, 506.00000, 574.00000
40.77100, 514.00000, 1010.00000
40.82100, 533.00000, 562.00000
40.87100, 528.00000, 936.00000
40.92100, 518.00000, 1182.00000
40.97100, 531.00000, -12.00000
41.02100, 530.00000, 436.00000
41.07100, 528.00000, 222.00000
41.12100, 530.00000, 584.00000
41.17100, 535.00000, 814.00000
41.22100, 531.00000, 484.00000
